original_location_description,exact_location,general_location
N 087 E of pd 14,pond 14,within NWA
N of pd 14,pond 14,within NWA
N pd 1,pond 1,within NWA
N 059 NE of pd 3,pond 3,within NWA
p 66,pond 66,within NWA
N 085 SE of pd 14,pond 14,within NWA
N 041 N of pd 140,pond 140,within NWA
N 057 E of pd 14,pond 14,within NWA
NE pd 29 in field,pond 29,within NWA
pd 71,pond 71,within NWA
SE pd 1,pond 1,within NWA
pd 1 SSE,pond 1,within NWA
N 073 N of pd 1,pond 1,within NWA
S end pd 1,pond 1,within NWA
pd 90 B,pond 90,within NWA
In field E of pond 90,pond 90,within NWA
pd 37,pond 37,within NWA
pd 6,pond 6,within NWA
pd 20 W,pond 20,within NWA
N edge of pd 66,pond 66,within NWA
pd 5618,pond 56,within NWA
N347 pd 2,pond 2,within NWA
N 041 flushed to pd 1 ,pond 1,within NWA
in field b/w pd 26 and 67,pond 26,within NWA
in crop west of pd 67,pond 67,within NWA
SE of pd 109,pond 109,within NWA
pd 80,pond 80,within NWA
pd 4336,unknown,surrounding area
E ISLAND PD1,pond 1,within NWA
E PD 1 ,pond 1,within NWA
PD 1,pond 1,within NWA
NEPD1,pond 1,within NWA
Pd 1 ,pond 1,within NWA
Pd 1,pond 1,within NWA
Pd 79E,pond 79,within NWA
Pd 15,pond 15,within NWA
Pd 97,pond 97,within NWA
Pd5338,unknown,surrounding area
NWPd1,pond 1,within NWA
Pd90B,pond 90,within NWA
Pd90A,pond 90,within NWA
PD80,pond 80,within NWA
SWEPd63,pond 63,within NWA
Pd65,pond 65,within NWA
Pd70,pond 70,within NWA
pd125N,pond 125,within NWA
Pd80,pond 80,within NWA
Pd3558,unknown,surrounding area
Pd1SE,pond 1,within NWA
Pd 7GE,pond 7,within NWA
Pd 1W,pond 1,within NWA
Pd140,pond 140,within NWA
Pd56,pond 56,within NWA
Pd15,pond 15,within NWA
Pd53,pond 5,within NWA
Pd1; n248,pond 1,within NWA
Pd15E,pond 15,within NWA
Pd1w,pond 1,within NWA
Pd1N,pond 1,within NWA
Pd1SW,pond 1,within NWA
Pd11,pond 11,within NWA
Pd1Nend,pond 1,within NWA
SendPd1,pond 1,within NWA
Pd19E,pond 19,within NWA
Pd79E,pond 79,within NWA
Pd79,pond 79,within NWA
SEPd1,pond 1,within NWA
SWPd1,pond 1,within NWA
Pd1S,pond 1,within NWA
Pd125s,pond 125,within NWA
Pd5,pond 5,within NWA
Pd1 n11,pond 1,within NWA
Pd78E,pond 78,within NWA
Pd79B,pond 79,within NWA
Pd125,pond 125,within NWA
Pd65S,pond 65,within NWA
Pd6,pond 6,within NWA
S of Pd90B,pond 90,within NWA
"nS-3, NE Pd90",pond 90,within NWA
Pond 1,pond 1,within NWA
Pond 90B,pond 90,within NWA
Pond 90A,pond 90,within NWA
Pd 90B,pond 90,within NWA
Pd1 SE,pond 1,within NWA
P125N,pond 125,within NWA
Pd1SE end,pond 1,within NWA
Pd1SW end,pond 1,within NWA
P1SE,pond 1,within NWA
Pd1NE,pond 1,within NWA
Pd7W,pond 7,within NWA
Pd1255,unknown,surrounding area
Pd125N,pond 125,within NWA
Pd1NW,pond 1,within NWA
"Pd84, n239",pond 84,within NWA
Pd20W,pond 20,within NWA
Pd35,pond 35,within NWA
Pd125c,pond 125,within NWA
Pd125S,pond 125,within NWA
p1 W,pond 1,within NWA
p15,pond 15,within NWA
p1 E,pond 1,within NWA
p1 (disco),pond 1,within NWA
NE of pd 20,pond 20,within NWA
p69,pond 69,within NWA
p65 N,pond 65,within NWA
p90 B,pond 90,within NWA
p1 E (south),pond 1,within NWA
pd125 N,pond 125,within NWA
p125 N,pond 125,within NWA
p1 N,pond 1,within NWA
p1 ,pond 1,within NWA
p56,pond 56,within NWA
p16 N,pond 16,within NWA
p61,pond 61,within NWA
p78 S,pond 78,within NWA
p25 W,pond 25,within NWA
p80,pond 80,within NWA
p65 W middle,pond 65,within NWA
p1 W side,pond 1,within NWA
p1 SW,pond 1,within NWA
p1857,pond 18,within NWA
p90 B S,pond 90,within NWA
p35,pond 35,within NWA
p1 NE,pond 1,within NWA
p1 NW,pond 1,within NWA
p1 SE,pond 1,within NWA
p1 E side,pond 1,within NWA
p1 SE side,pond 1,within NWA
pd79,pond 79,within NWA
S end of p1 W + on stable NE p5,pond 5,within NWA
NW p29 n190,pond 29,within NWA
send p1 in stuble between p4&5,pond 4,within NWA
p20 N end,pond 20,within NWA
P65,pond 65,within NWA
p67 ,pond 67,within NWA
n524 (p14 E),pond 14,within NWA
p1 W ,pond 1,within NWA
p1 S,pond 1,within NWA
p90 ,pond 90,within NWA
p79,pond 79,within NWA
p78,pond 78,within NWA
p 90 A,pond 90,within NWA
p 90 B,pond 90,within NWA
p79 E end,pond 79,within NWA
p1 N end,pond 1,within NWA
p25 N,pond 25,within NWA
p 1 N,pond 1,within NWA
p 1 ,pond 1,within NWA
p58,pond 58,within NWA
P90 B,pond 90,within NWA
P90 A,pond 90,within NWA
P90 S,pond 90,within NWA
p130 N,pond 130,within NWA
p79 ,pond 79,within NWA
p1 E of pd 94,pond 94,within NWA
p1 w ,pond 1,within NWA
p35 S SWend native,pond 35,within NWA
p1 S end,pond 1,within NWA
p5634,unknown,surrounding area
p1 A,pond 1,within NWA
p113 NE,pond 113,within NWA
S of pd 5338,unknown,surrounding area
50m NW of pd 38,pond 38,within NWA
pd 79E ,pond 79,within NWA
N of pd 5056,unknown,surrounding area
pd 79 E ,pond 79,within NWA
SW end pd 90 ,pond 90,within NWA
pd 90B,pond 90,within NWA
pd 90 B ,pond 90,within NWA
nest 662 SE of pd 92 ,pond 92,within NWA
pd 1W ,pond 1,within NWA
1st pd NE of pd 4717,unknown,surrounding area
pd 66 ,pond 66,within NWA
nest 506 N of pd 90,pond 90,within NWA
Nest S pd 50,pond 50,within NWA
pd 70,pond 70,within NWA
pd 26 ,pond 26,within NWA
pd 27,pond 27,within NWA
pd 76,pond 76,within NWA
pd 79 W,pond 79,within NWA
PD 65,pond 65,within NWA
E of pd 94,pond 94,within NWA
? pd 25,pond 25,within NWA
pd 66 (s),pond 66,within NWA
pd 79,pond 79,within NWA
"In field N of pd 28, E end of pd 29",pond 29,within NWA
"N of pd 3, N229",pond 3,within NWA
pd 1 NE,pond 1,within NWA
nest 642 N pd 139,pond 139,within NWA
Pd 50,pond 50,within NWA
nest 598 N pd 24 S,pond 24,within NWA
pd 1 NE End,pond 1,within NWA
pd 1 fr. South,pond 1,within NWA
SW pd 137 N1,pond 137,within NWA
pd 12,pond 12,within NWA
nest 399 E pd 90,pond 90,within NWA
Pd 1 SW,pond 1,within NWA
pd 20 S,pond 20,within NWA
nest 461 S pd 33,pond 33,within NWA
pd 25 N,pond 25,within NWA
nest 568 w pd 28,pond 28,within NWA
pd 26 A,pond 26,within NWA
n191 @ pd 90,pond 90,within NWA
pd 125,pond 125,within NWA
N152 @ pd 128,pond 128,within NWA
crop edge W of p 90,pond 90,within NWA
pd 26 N,pond 26,within NWA
In crop by pd 20,pond 20,within NWA
flush from nest # 105 to pd 26,pond 26,within NWA
pd 5,pond 5,within NWA
SW Pd 1,pond 1,within NWA
n 191@ pd 50,pond 50,within NWA
pd 19,pond 19,within NWA
pd 67 ,pond 67,within NWA
p1E,pond 1,within NWA
p60,pond 60,within NWA
p7,pond 7,within NWA
p45,pond 45,within NWA
p125S,pond 125,within NWA
p79E,pond 79,within NWA
p22,pond 2,within NWA
p79E (bait trap),pond 79,within NWA
p65S,pond 65,within NWA
p1E(s.end),pond 1,within NWA
p1W(s.end),pond 1,within NWA
p1W,pond 1,within NWA
p90B,pond 90,within NWA
"stubble field #50, #60",unknown,surrounding area
n11,unknown,surrounding area
R.O.W near #67,unknown,surrounding area
n1 ,unknown,surrounding area
#1,unknown,surrounding area
#27,unknown,surrounding area
stubble field S of house,unknown,surrounding area
n36,unknown,surrounding area
see comments ,NA,NA
NE of #29,unknown,surrounding area
SE lobe of #66,unknown,surrounding area
?,NA,NA
old foundation near house,unknown,surrounding area
n17 (hatched),unknown,surrounding area
#50,unknown,surrounding area
3rd pond S of xroads,unknown,surrounding area
pond S of xroads,unknown,surrounding area
#2,unknown,surrounding area
n8 (8 eggs)(nest trapped),unknown,surrounding area
n8,unknown,surrounding area
n148,unknown,surrounding area
#125,unknown,surrounding area
Nest #54 S of 40,unknown,surrounding area
slough off SE corner of area ,unknown,surrounding area
slough off NE corner of area ,unknown,surrounding area
slough 1km E of SE corner of area ,unknown,surrounding area
same as above,NA,NA
slough across road (South) of 90 S,unknown,surrounding area
#79,unknown,surrounding area
n21 NW hayfield,unknown,surrounding area
slough partially in NW corner of area,unknown,surrounding area
n50 (10 eggs),unknown,surrounding area
hayfield W of 79,unknown,surrounding area
"large slough 1km S, .75 km W of main grid road undersection at South end of area ",unknown,surrounding area
flew from #1 to #125,unknown,surrounding area
6847,unknown,surrounding area
slough 1km N of area E side of grid road,unknown,surrounding area
"N of house, off area",unknown,surrounding area
slough 1km N of house ,unknown,surrounding area
1 1/4 mi NW of house,unknown,surrounding area
on slough off NW corner of area ,unknown,surrounding area
on slough 1 mi N and 1 mi W of area,unknown,surrounding area
2 mi WNW of house,unknown,surrounding area
1 1/2 mi NW of house,unknown,surrounding area
"midpoint of North fence, East block",unknown,surrounding area
S of 79 (across road),unknown,surrounding area
on road South of NWA to (main grid) St Denis +/- 200m,unknown,surrounding area
n52,unknown,surrounding area
n4,unknown,surrounding area
Temp pond =50 m E of main grid about 200 m S of SW corner of East block,unknown,surrounding area
n93,unknown,surrounding area
n86,unknown,surrounding area
n12,unknown,surrounding area
1 W,unknown,surrounding area
125N,unknown,surrounding area
South of 60 at gate to West block (pond at gate),unknown,surrounding area
n67,unknown,surrounding area
Nest #101 (abandoned),unknown,surrounding area
n66,unknown,surrounding area
n124,unknown,surrounding area
n146,unknown,surrounding area
n49,unknown,surrounding area
n158,unknown,surrounding area
125n,unknown,surrounding area
field west of 125n,unknown,surrounding area
pond ,unknown,surrounding area
n85,unknown,surrounding area
n72 (successful),unknown,surrounding area
n72,unknown,surrounding area
n112,unknown,surrounding area
pd. 6753,unknown,surrounding area
on nest ,unknown,surrounding area
n24,unknown,surrounding area
WEST 8 (hatch),unknown,surrounding area
on nest 071 (destroyed),unknown,surrounding area
295,unknown,surrounding area
S of 79 E,unknown,surrounding area
pd-79E,unknown,surrounding area
n26,unknown,surrounding area
n50,unknown,surrounding area
n26 (9 egg clutch),unknown,surrounding area
n50 (started with 8 egg clutch),unknown,surrounding area
n23,unknown,surrounding area
field S of driveway,unknown,surrounding area
n99,unknown,surrounding area
nest 070,unknown,surrounding area
nest 006,unknown,surrounding area
nest #100,unknown,surrounding area
n25,unknown,surrounding area
n15,unknown,surrounding area
nest 045,unknown,surrounding area
n44,unknown,surrounding area
n81,unknown,surrounding area
nest 021,unknown,surrounding area
island,unknown,surrounding area
n55 (H),unknown,surrounding area
nest 008,unknown,surrounding area
nest 21 (ISL),unknown,surrounding area
Nest 019,unknown,surrounding area
Nest 009,unknown,surrounding area
nest 009,unknown,surrounding area
nest 009 ,unknown,surrounding area
Nest 8,unknown,surrounding area
nest #1,unknown,surrounding area
nest 16 ,unknown,surrounding area
nest #4,unknown,surrounding area
"Trenton, Kentucky",unknown,outside area
nest #6 ,unknown,surrounding area
on nest (NW of quanset) *see attached brood OBS. form,unknown,surrounding area
"Leshara, Nebraska",unknown,outside area
nest 184,unknown,surrounding area
on nest 75,unknown,surrounding area
nest 76,unknown,surrounding area
nest 132,unknown,surrounding area
nest 007,unknown,surrounding area
nest 2  (island),unknown,surrounding area
nest 7,unknown,surrounding area
nest 203,unknown,surrounding area
NATAL Nest #6 ,unknown,surrounding area
nest 010,unknown,surrounding area
nest 010 ,unknown,surrounding area
nest 001,unknown,surrounding area
nest 79,unknown,surrounding area
n015,unknown,surrounding area
1/4 mi S of Nwa,unknown,surrounding area
??,NA,NA
1/2 mi. SE of Main Road,unknown,surrounding area
Awol SL,NA,NA
S of 5338 SL,unknown,surrounding area
S of 5338 SL ON E side of Pd SL,unknown,surrounding area
Awol,NA,NA
NE of Labreques (S of 5338) SL,unknown,surrounding area
"S of 5335 JF, MD",unknown,outside area
Near 2940 freq SL,unknown,surrounding area
Same pond as 2940 SL,unknown,surrounding area
NE of Lebreques  Acting Broody SL,unknown,surrounding area
n460,unknown,surrounding area
N/A,NA,NA
N078,unknown,surrounding area
N9,unknown,surrounding area
AWAL,NA,NA
Island,unknown,surrounding area
N of NWA,unknown,surrounding area
CE of Island,unknown,surrounding area
S end Island near fence,unknown,surrounding area
S end Island,unknown,surrounding area
Pd N of quanset,unknown,surrounding area
Pd N of fence N of 1st insect trap,unknown,surrounding area
Pd N of quanset along road,unknown,surrounding area
Pd N of Quanset,unknown,surrounding area
NW share of island,unknown,surrounding area
Possibly on island,unknown,surrounding area
NW end island,unknown,surrounding area
on nest,unknown,surrounding area
on NW corner of island,unknown,surrounding area
NW corner of island,unknown,surrounding area
NW end Island ,unknown,surrounding area
On NW side Island nest?,unknown,surrounding area
"Found Dead near nest eggs untouched ""Dead""",NA,NA
N48,unknown,surrounding area
Lg od? S of area along field??,unknown,surrounding area
Could it final?,NA,NA
N137,unknown,surrounding area
N11,unknown,surrounding area
E. side Island,unknown,surrounding area
N09,unknown,surrounding area
n09,unknown,surrounding area
1530,unknown,surrounding area
n79,unknown,surrounding area
W island,unknown,surrounding area
UNK,NA,NA
Island Nest II 26,unknown,surrounding area
Pd01,unknown,surrounding area
N3,unknown,surrounding area
N end Island,unknown,surrounding area
Island N II 20,unknown,surrounding area
1W,unknown,surrounding area
N share Isl,unknown,surrounding area
Nest,unknown,surrounding area
AWOL,NA,NA
N17,unknown,surrounding area
ON NEST,unknown,surrounding area
NEST AREA,unknown,surrounding area
N62,unknown,surrounding area
S end island,unknown,surrounding area
N est 125,unknown,surrounding area
N146 island,unknown,surrounding area
N 195 ISL,unknown,surrounding area
on island,unknown,surrounding area
SW end Island ,unknown,surrounding area
SE Island,unknown,surrounding area
no sighting,NA,NA
Just off the SE end of Island,unknown,surrounding area
SW island,unknown,surrounding area
Couldn't find,NA,NA
N24 ISL,unknown,surrounding area
ISLA #25,unknown,surrounding area
Island Nest 27,unknown,surrounding area
1/2 Mi SE Of Bouissiarie's,unknown,surrounding area
ISLAND Nest #36,unknown,surrounding area
field feeding 2 male following her,unknown,surrounding area
N. labe* of Pd N of 6642,unknown,surrounding area
No sighting Pd N of 6642,NA,surrounding area
SE of area,unknown,surrounding area
W side of road in 2nd pd S house S of skunk pens,unknown,surrounding area
E side of road in 2nd pd S house S of skunk pens,unknown,surrounding area
S of Bouissier's Farm W side road,unknown,surrounding area
E side road Bouissieres SE,unknown,surrounding area
Weak signal SE of SE corner of study area,unknown,surrounding area
S of Bouissier's on E side road,unknown,surrounding area
E of Bouissier's on E side road (not sure where),unknown,surrounding area
N330,unknown,surrounding area
Skomars Pond,unknown,surrounding area
feild by 5056,unknown,surrounding area
Skomars Pd,unknown,surrounding area
Pd N of NWA N of saptives ,unknown,surrounding area
Pd N of duck pen,unknown,surrounding area
Brood ob nothing seen,NA,NA
NW finger* visual of pd N of duck pen,unknown,surrounding area
SW corner of pd N of duck pen,unknown,surrounding area
Central Pd N of duck pen,unknown,surrounding area
No sighting,NA,NA
NW duck pen,unknown,surrounding area
SW corner of large Pd N of captives ,unknown,surrounding area
S end corner of large Pd N of captives ,unknown,surrounding area
S end caught two of her duckling,unknown,surrounding area
Pd N of captive,unknown,surrounding area
Visual on nest,unknown,surrounding area
S of house S of SE corner of NWA,unknown,surrounding area
W of house S of SE corner of NWA (in pond),unknown,surrounding area
W of house S of SE corner of NWA (visual from distance),unknown,surrounding area
Same area or maybe S farther,unknown,surrounding area
W of house S of Skunk pen,unknown,surrounding area
w OF Bouissiere's,unknown,surrounding area
Pd S of 90b,unknown,surrounding area
S of 5338 ,unknown,surrounding area
W of 5338,unknown,surrounding area
SE of Boussiere's,unknown,surrounding area
Straight N of Bossieres,unknown,surrounding area
SW of boussieres,unknown,surrounding area
Field N of boussieres ,unknown,surrounding area
N of boussieres,unknown,surrounding area
Unknown,NA,NA
Pd N of Boussieres,unknown,surrounding area
W side of 76,unknown,surrounding area
not sure if theeir hers she flushed earlier,NA,NA
Schomars Pd N of duckpen,unknown,surrounding area
NE N241,unknown,surrounding area
SW of Skomars Pd,unknown,surrounding area
N011,unknown,surrounding area
North of La Breques,unknown,surrounding area
Northeast of La Braques,unknown,surrounding area
"Northeast of La Braques, lentil field in wetland on muskrat house",unknown,surrounding area
N,unknown,surrounding area
Centre of 1/4 sec south of Bousierre's Farms ,unknown,surrounding area
"Centre of 1/4 sec south of Bousierre's Farms, 1/2 mile futher South of Bousierre's Farm",unknown,surrounding area
1/2 miles West on North border study area ,unknown,surrounding area
90 meters of road; 150 meters East of skunkper,unknown,surrounding area
1/2 miles East of skunkper,unknown,surrounding area
Nest Southeast Arthur's,unknown,surrounding area
South of 5338,unknown,surrounding area
South Pd South of 5338,unknown,surrounding area
South of 5338 Northwest Tip,unknown,surrounding area
Southeast of Arthur's house,unknown,surrounding area
Pd South of 5538,unknown,surrounding area
Southwest end South of 5338,unknown,surrounding area
Northwest end South of 5338,unknown,surrounding area
Southwest end of 5338,unknown,surrounding area
Southeast of South of 5338,unknown,surrounding area
Pd West of Bousierres,unknown,surrounding area
3 to 4 miles southeast of awa on huge wetland (See map in the clipboard),unknown,surrounding area
On nest,unknown,surrounding area
South of 4439 East side ,unknown,surrounding area
Nest1168,unknown,surrounding area
North 072,unknown,surrounding area
Nest 038,unknown,surrounding area
Nest 021,unknown,surrounding area
Nest 54,unknown,surrounding area
Pd Southwest Labreque's,unknown,surrounding area
Nest 251,unknown,surrounding area
East of 5056,unknown,surrounding area
Nest022 (island),unknown,surrounding area
Nest 343 (island),unknown,surrounding area
140,unknown,surrounding area
Northeast of 5056,unknown,surrounding area
1.25NNE of study area,unknown,surrounding area
Nest 319,unknown,surrounding area
East of North side study area,unknown,surrounding area
1E,unknown,surrounding area
#208 island,unknown,surrounding area
Nest 361,unknown,surrounding area
2 mi SW study area,unknown,surrounding area
1 mi SSE of study area,unknown,surrounding area
1 1/4 mi SSE study area,unknown,surrounding area
SW of Labreques,unknown,surrounding area
SW arthur Denis,unknown,surrounding area
pd SSW 1/2 mi SWL of Boussiere's,unknown,surrounding area
1/4 mi NE of study area,unknown,surrounding area
25,unknown,surrounding area
Skomar's pd,unknown,surrounding area
island nest #020,unknown,surrounding area
first pd SW of Boussiere's driveway,unknown,surrounding area
nest 558 island,unknown,surrounding area
lge wetlland 2.5 mi NWof NWA,unknown,surrounding area
nest,unknown,surrounding area
Isl Nest #19,unknown,surrounding area
N 130 ISL,unknown,surrounding area
2 pds N of 7044,unknown,surrounding area
N 219,unknown,surrounding area
"Shirley, Arkansas",unknown,outside area
pd # 1,unknown,surrounding area
nest #034,unknown,surrounding area
on nest island (Nest 209),unknown,surrounding area
"Sping Bay, Illinois",unknown,outside area
#79 E,unknown,surrounding area
"Reel Feet Lake, Tennesee",unknown,outside area
20,unknown,surrounding area
pd E of 90B,unknown,surrounding area
N 232 ISL,unknown,surrounding area
1 mi E of NE side NWA,unknown,surrounding area
"N 125 
13 L",unknown,surrounding area
N 207,unknown,surrounding area
N 163 ISL,unknown,surrounding area
nest 015,unknown,surrounding area
Nest 016 near quanset,unknown,surrounding area
Nest 405,unknown,surrounding area
nest 901,unknown,surrounding area
6672,unknown,surrounding area
nest 014,unknown,surrounding area
N 308,unknown,surrounding area
5338,unknown,surrounding area
N 127 ISL,unknown,surrounding area
on shore of Bay of Island,unknown,surrounding area
N 059,unknown,surrounding area
N 145 ISL,unknown,surrounding area
SW island shore,unknown,surrounding area
"Bayou Meto, Arkansas",unknown,outside area
N 149 ISL,unknown,surrounding area
"Atchafalya Delta, NWR Louisiana ",unknown,outside area
"Delta Wings Hunt Club, Arkansas",unknown,outside area
N140 ISL,unknown,surrounding area
N202,unknown,surrounding area
S of skunk pen,unknown,surrounding area
2 pd NNE of 6631,unknown,surrounding area
N66,unknown,surrounding area
N101 ISL,unknown,surrounding area
"Lafitte, Louissianna",unknown,outside area
1 pd NE of 4857 on opposite side of road,unknown,surrounding area
Nest #043,unknown,surrounding area
big pd SW of Andre Denis,unknown,surrounding area
Nest 081,unknown,surrounding area
nest 012,unknown,surrounding area
"Lacygne, Kansas",unknown,outside area
E of 1255 N 104,unknown,surrounding area
SW TRES Nest # 021,unknown,surrounding area
1 pd E of 94,unknown,surrounding area
Nest 040,unknown,surrounding area
Nest 088,unknown,surrounding area
1 pd SW 6631,unknown,surrounding area
Nest 135,unknown,surrounding area
N106,unknown,surrounding area
S of quanset sheetwater,unknown,surrounding area
pd S of 6672,unknown,surrounding area
Nest 023,unknown,surrounding area
2-3 ponds N of 5327,unknown,surrounding area
Nest 376,unknown,surrounding area
"Blytheville, Arkansas",unknown,outside area
nest 173,unknown,surrounding area
N107,unknown,surrounding area
"Licoln County, Arkansas",unknown,outside area
280 nest,unknown,surrounding area
nest 619,unknown,surrounding area
Nest #013  ,unknown,surrounding area
1 pd S o 6136,unknown,surrounding area
nest 339,unknown,surrounding area
2nd pd E of 8132,unknown,surrounding area
"1 m N of main road 
1 m N of NWA (1st pd SE of farm)*",unknown,surrounding area
"1 m N of main road 
1 m N of NWA (1st pd SE of farm)",unknown,surrounding area
Nest 215 ISL,unknown,surrounding area
"Schell City, Missouri",unknown,outside area
pd N of 4717,unknown,surrounding area
"Smackover, Arkansas",unknown,outside area
N153,unknown,surrounding area
"Raceland, LA",unknown,outside area
1 pd S of 4336,unknown,surrounding area
Nest #008,unknown,surrounding area
Nest 473,unknown,surrounding area
"2 pds E 
1 pd S of 2561",unknown,surrounding area
142 ISL,unknown,surrounding area
N236,unknown,surrounding area
W of 5338 in field,unknown,surrounding area
125 S,unknown,surrounding area
Nest 065,unknown,surrounding area
Nest 663,unknown,surrounding area
2 pds SE of Andre Denis yard,unknown,surrounding area
141 ISL,unknown,surrounding area
185 ISL,unknown,surrounding area
N144 ISL,unknown,surrounding area
1 E,unknown,surrounding area
Flush from nest 6136 (N166),unknown,surrounding area
144 ISL,unknown,surrounding area
5056,unknown,surrounding area
S of 5056 in crop,unknown,surrounding area
150 ISL,unknown,surrounding area
N 201,unknown,surrounding area
N105 ISL,unknown,surrounding area
134 ISL,unknown,surrounding area
N 26 I,unknown,surrounding area
N 017 N of quanset ,unknown,surrounding area
field N of 5056,unknown,surrounding area
N129 ISL,unknown,surrounding area
pond S of 6672,unknown,surrounding area
N218 ISL,unknown,surrounding area
N130 ISL,unknown,surrounding area
125 N,unknown,surrounding area
125,unknown,surrounding area
148 ISL,unknown,surrounding area
Nest 513 ISL,unknown,surrounding area
nest ,unknown,surrounding area
1 pd S of 3670 1 mi NW of Skomar's pd,unknown,surrounding area
Skomar's,unknown,surrounding area
1 pd SW of 5662,unknown,surrounding area
N126 ISL,unknown,surrounding area
N 214,unknown,surrounding area
6642,unknown,surrounding area
N029,unknown,surrounding area
1 L,unknown,surrounding area
143 ISL,unknown,surrounding area
N200,unknown,surrounding area
N # 029 S of captives,unknown,surrounding area
"Sabine Ref, LA",unknown,outside area
N 123 ISL,unknown,surrounding area
N 124 ISL,unknown,surrounding area
N 52 ISL,unknown,surrounding area
N 122 E of 67,unknown,surrounding area
1st pd S of 5723,unknown,surrounding area
133 ISL,unknown,surrounding area
N 119,unknown,surrounding area
N 045 ISL,unknown,surrounding area
SW 90,unknown,surrounding area
Nest ,unknown,surrounding area
Nest # 018,unknown,surrounding area
N70,unknown,surrounding area
N 136 ISL,unknown,surrounding area
1 N,unknown,surrounding area
90,unknown,surrounding area
1 pd S of 6113,unknown,surrounding area
1/2 mi further South of 1 pd S of 6113,unknown,surrounding area
N018 ISL,unknown,surrounding area
1 pd SW of 3670,unknown,surrounding area
Skomar's  ,unknown,surrounding area
N196,unknown,surrounding area
9338,unknown,surrounding area
N047 ISL,unknown,surrounding area
530 nest,unknown,surrounding area
1 mi N of town of St Denis,unknown,surrounding area
N174,unknown,surrounding area
N301,unknown,surrounding area
pd South 6751,unknown,surrounding area
N082,unknown,surrounding area
N69,unknown,surrounding area
N039,unknown,surrounding area
N210 ISL,unknown,surrounding area
N 086,unknown,surrounding area
4156 Skomar's,unknown,surrounding area
Skomar's N295,unknown,surrounding area
Skomar's 4851,unknown,surrounding area
N083,unknown,surrounding area
Nest 024,unknown,surrounding area
N101,unknown,surrounding area
N 61,unknown,surrounding area
N129,unknown,surrounding area
N181,unknown,surrounding area
66,unknown,surrounding area
ESE Rene Lebreque,unknown,surrounding area
N 056,unknown,surrounding area
N 199,unknown,surrounding area
N142 ISL,unknown,surrounding area
"Madisonville, Kentucky",unknown,outside area
N150,unknown,surrounding area
1st pd SE of Bousierres driveway,unknown,surrounding area
N13,unknown,surrounding area
N203,unknown,surrounding area
N027,unknown,surrounding area
N211,unknown,surrounding area
N215,unknown,surrounding area
N193,unknown,surrounding area
N354,unknown,surrounding area
Skomar's (4851),unknown,surrounding area
N209,unknown,surrounding area
N254,unknown,surrounding area
1st pd SW of Boursierre's driveway,unknown,surrounding area
N126,unknown,surrounding area
N276,unknown,surrounding area
1 SE,unknown,surrounding area
N19 ISL,unknown,surrounding area
N 230 ISL,unknown,surrounding area
125S,unknown,surrounding area
N213,unknown,surrounding area
N375,unknown,surrounding area
1st pd E side of road 1 mi N of NWA sign main road,unknown,surrounding area
N282,unknown,surrounding area
4136,unknown,surrounding area
N235,unknown,surrounding area
N 046,unknown,surrounding area
N024,unknown,surrounding area
(ISL) N218,unknown,surrounding area
20 W,unknown,surrounding area
in crop S 110/111,unknown,surrounding area
N100,unknown,surrounding area
N172,unknown,surrounding area
N058,unknown,surrounding area
N212,unknown,surrounding area
N169,unknown,surrounding area
N221,unknown,surrounding area
N018,unknown,surrounding area
N233,unknown,surrounding area
N204,unknown,surrounding area
N267 ISL,unknown,surrounding area
N291,unknown,surrounding area
N307,unknown,surrounding area
1,unknown,surrounding area
1 South,unknown,surrounding area
N214 ISL,unknown,surrounding area
1 E ,unknown,surrounding area
N022,unknown,surrounding area
N 052,unknown,surrounding area
N079,unknown,surrounding area
N081,unknown,surrounding area
N222,unknown,surrounding area
N111,unknown,surrounding area
nS22,unknown,surrounding area
nS21,unknown,surrounding area
n20,unknown,surrounding area
NW66,unknown,surrounding area
nS01,unknown,surrounding area
nS7,unknown,surrounding area
Pd S of Pd,unknown,surrounding area
n17,unknown,surrounding area
